title,start,end,,
統計学が最強の学問である,2019/12/5,2019/12/13,,
統計学が最強の学問である　実践編　データ分析のための思想と方法,2019/12/13,2020/1/5,,
統計学が最強の学問である　ビジネス編　データを利益に変える知恵とデザイン,2020/1/5,2020/1/5,,
"	統計学が最強の学問である　数学編　データ分析と機械学習のための新しい教科書",,,,
,,,,
統計学のための数学教室－この１冊で腑に落ちる－,2019/12/17,2019/12/18,,
ゼロから学ぶ線形代数,,,,
,,,,
意味がわかる統計学－まずはこの一冊から－（ＢＥＲＥＴ　ＳＣＩＥＮＣＥ）,2019/12/24,2019/12/25,,
意味がわかる統計解析－まずはこの一冊から－（ＢＥＲＥＴ　ＳＣＩＥＮＣＥ）,2019/12/27,2019/12/31,,
"	完全独習統計学入門",2019/12/18,2019/12/22,,
はじめての統計学,2019/12/22,2019/12/26,,
統計学がわかる　ハンバーガーショップでむりなく学ぶ、やさしく楽しい,2019/12/24,2019/12/26,,
"	統計学がわかる　回帰分析・因子分析編（ファーストブック）　アイスクリームで味わう",2019/12/26,2019/12/26,,
,,,,
図解・ベイズ統計「超」入門－あいまいなデータから未来を予測する技術－（サイエンス,2020/1/8,2020/1/9,,
完全独習ベイズ統計学入門,2020/1/9,2020/1/10,,
,,,,
多変量解析のはなし－複雑さから本質を探る－改訂版（Ｂｅｓｔ　ｓｅｌｅｃｔｅｄ　Ｂ,,,,
多変量解析のはなし,,,,
,,,,
データ分析の力 因果関係に迫る思考法,2019/12/23,2020/1/8,,
実証分析入門－データから「因果関係」を読み解く作法－,,,,
,,,,
Ｒによるデータサイエンス－データ解析の基礎から最新手法まで－第２版,2020/1/11,,,
,,,,
ウソを見破る統計学－退屈させない統計入門－（ブルーバックス　Ｂ－１７２４）,,,,
